Pot. Lampada,Pot. Ventoinha,Temp,Umidade,Tempo
100,0,35.6,95,2172
100,0,35.5,95,2173
100,0,35.5,95,2174
100,0,35.6,95,2175
100,0,35.6,95,2176
100,0,35.7,95,2177
100,0,35.7,95,2178
100,0,35.7,95,2179
100,0,35.7,95,2180
100,0,35.7,95,2181
100,0,35.7,95,2182
100,0,35.7,95,2183
100,0,35.7,95,2184
100,0,35.9,95,2185
100,0,35.9,95,2186
100,0,36.4,95,2187
100,0,36.4,95,2188
100,0,36.4,95,2189
100,0,36.4,95,2190
100,0,36.4,95,2191
100,0,36.4,95,2192
100,0,36.3,95,2193
100,0,36.3,95,2194
100,0,36,95,2195
100,0,36,95,2196
100,0,36.6,95,2197
100,0,36.6,95,2198
100,0,36.6,95,2199
100,0,36.6,95,2200
100,0,36.6,95,2201
100,0,36.6,95,2202
100,0,36.6,95,2203
100,0,36.6,95,2204
100,0,36.6,95,2205
100,0,36.6,95,2206
100,0,37.2,95,2207
100,0,37.2,95,2208
100,0,37.2,95,2209
100,0,37.2,95,2210
100,0,37.2,95,2211
100,0,37.2,95,2212
100,0,37.5,95,2213
100,0,37.5,95,2214
100,0,37.4,95,2215
100,0,37.4,95,2216
100,0,37.4,95,2217
100,0,37.4,95,2218
100,0,37.4,95,2219
100,0,37.4,95,2220
100,0,38.1,95,2221
100,0,38.1,95,2222
100,0,38.1,95,2223
100,0,38.1,95,2224
100,0,38.1,91,2225
100,0,38.1,91,2226
100,0,38.1,91,2227
100,0,38.1,91,2228
100,0,38.3,91,2229
100,0,38.3,91,2230
100,0,38.3,89,2231
100,0,38.3,89,2232
100,0,38.3,89,2233
100,0,38.3,89,2234
100,0,38.3,89,2235
100,0,38.3,89,2236
100,0,38.9,89,2237
100,0,38.9,89,2238
100,0,38.9,88,2239
100,0,38.9,88,2240
100,0,38.9,88,2241
100,0,38.9,88,2242
100,0,38.9,87,2243
100,0,38.9,87,2244
100,0,39.3,86,2245
100,0,39.3,86,2246
100,0,39.2,87,2247
100,0,39.2,87,2248
100,0,39.2,86,2249
100,0,39.2,86,2250
100,0,39.2,85,2251
100,0,39.2,85,2252
100,0,39.8,85,2253
100,0,39.8,85,2254
100,0,39.8,83,2255
100,0,39.8,83,2256
100,0,39.8,82,2257
100,0,39.8,82,2258
100,0,39.6,83,2259
100,0,39.6,83,2260
100,0,39.6,82,2261
100,0,39.6,82,2262
100,0,40.1,81,2263
100,0,40.1,81,2264
100,0,40.1,79,2265
100,0,40.1,79,2266
100,0,40.1,78,2267
100,0,40.1,78,2268
100,0,40.1,77,2269
100,0,40.1,77,2270
100,0,40.7,76,2271
100,0,40.7,76,2272
100,0,40.7,75,2273
100,0,40.7,75,2274
100,0,40.7,74,2275
100,0,40.7,74,2276
100,0,40.3,73,2277
100,0,40.3,73,2278
100,0,40.8,72,2279
100,0,40.8,72,2280
100,0,41,71,2281
100,0,41,71,2282
100,0,41,70,2283
100,0,41,70,2284
100,0,41,69,2285
100,0,41,69,2286
100,0,41,70,2287
100,0,41,70,2288
100,0,41.7,68,2289
100,0,41.7,68,2290
100,0,41.3,66,2291
100,0,41.3,66,2292
100,0,41.3,67,2293
100,0,41.3,67,2294
100,0,41.3,66,2295
100,0,41.3,66,2296
100,0,41.7,64,2297
100,0,41.7,64,2298
100,0,42,63,2299
100,0,42,63,2300
100,0,42,64,2301
100,0,42,64,2302
100,0,42,63,2303
100,0,42,63,2304
100,0,41.6,62,2305
100,0,41.6,62,2306
100,0,42.3,60,2307
100,0,42.3,60,2308
100,0,42.3,61,2309
100,0,42.3,61,2310
100,0,42.3,60,2311
100,0,42.3,60,2312
100,0,42.3,60,2313
100,0,42.3,60,2314
100,0,42.3,58,2315
100,0,42.3,58,2316
100,0,43,57,2317
100,0,43,57,2318
100,0,42.6,58,2319
100,0,42.6,58,2320
100,0,42.6,57,2321
100,0,42.6,57,2322
100,0,42.6,57,2323
100,0,42.6,57,2324
100,0,42.6,57,2325
100,0,42.6,57,2326
100,0,42.6,56,2327
100,0,42.6,56,2328
100,0,42.7,55,2329
100,0,42.7,55,2330
100,0,43.3,55,2331
100,0,43.3,55,2332
100,0,43.3,55,2333
100,0,43.3,55,2334
100,0,43.3,55,2335
100,0,43.3,55,2336
100,0,43.3,55,2337
100,0,43.3,55,2338
100,0,43.3,55,2339
100,0,43.3,55,2340
100,0,43.3,55,2341
100,0,43.3,55,2342
100,0,43.3,56,2343
100,0,43.3,56,2344
100,0,43.3,57,2345
100,0,43.3,57,2346
100,0,43.3,58,2347
100,0,43.3,58,2348
100,0,43.3,57,2349
100,0,43.3,57,2350
100,0,43.3,58,2351
100,0,43.3,58,2352
100,0,43.3,59,2353
100,0,43.3,59,2354
100,0,43.3,60,2355
100,0,43.3,60,2356
100,0,43.3,60,2357
100,0,43.3,60,2358
100,0,43.3,61,2359
100,0,43.3,61,2360
100,0,43.3,63,2361
100,0,43.3,63,2362
100,0,43,64,2363
100,0,43,64,2364
100,0,42.7,64,2365
100,0,42.7,64,2366
100,0,42.6,66,2367
100,0,42.6,66,2368
100,0,42.6,67,2369
100,0,42.6,67,2370
100,0,42.6,66,2371
100,0,42.6,66,2372
100,0,42.6,67,2373
100,0,42.6,67,2374
100,0,42.6,69,2375
100,0,42.6,69,2376
100,0,42.6,70,2377
100,0,42.6,70,2378
100,0,42.6,69,2379
100,0,42.6,69,2380
100,0,42.6,70,2381
100,0,42.6,70,2382
100,0,42.6,70,2383
100,0,42.6,70,2384
100,0,42.6,71,2385
100,0,42.6,71,2386
100,0,42.6,71,2387
100,0,42.6,71,2388
100,0,42.6,72,2389
100,0,42.6,72,2390
100,0,42.6,72,2391
100,0,42.6,72,2392
100,0,42.6,73,2393
100,0,42.6,73,2394
100,0,42.6,73,2395
100,0,42.6,73,2396
100,0,42.6,73,2397
100,0,42.6,73,2398
100,0,42.6,73,2399
100,0,42.6,73,2400
100,0,42.1,74,2401
100,0,42.1,74,2402
100,0,41.9,75,2403
100,0,41.9,75,2404
100,0,41.9,75,2405
100,0,41.9,75,2406
100,0,41.9,76,2407
100,0,41.9,76,2408
100,0,41.9,76,2409
100,0,41.9,76,2410
100,0,41.9,77,2411
100,0,41.9,77,2412
100,0,41.9,77,2413
100,0,41.9,77,2414
100,0,42.3,77,2415
100,0,42.3,77,2416
100,0,42.3,78,2417
100,0,42.3,78,2418
100,0,42.3,77,2419
100,0,42.3,77,2420
100,0,42.3,77,2421
100,0,42.3,77,2422
100,0,42.3,78,2423
100,0,42.3,78,2424
100,0,42.2,78,2425
100,0,42.2,78,2426
100,0,42.3,78,2427
100,0,42.3,78,2428
100,0,42.3,79,2429
100,0,42.3,79,2430
100,0,42.3,79,2431
100,0,42.3,79,2432
100,0,42.3,79,2433
100,0,42.3,79,2434
100,0,42.3,79,2435
100,0,42.3,79,2436
100,0,42.3,80,2437
100,0,42.3,80,2438
100,0,42.3,80,2439
100,0,42.3,80,2440
100,0,42.3,80,2441
100,0,42.3,80,2442
100,0,42.3,80,2443
100,0,42.3,80,2444
100,0,42.3,80,2445
100,0,42.3,80,2446
100,0,42.3,80,2447
100,0,42.3,80,2448
100,0,42.3,81,2449
100,0,42.3,81,2450
100,0,42.3,81,2451
100,0,42.3,81,2452
100,0,42.3,81,2453
100,0,42.3,81,2454
100,0,42.3,81,2455
100,0,42.3,81,2456
100,0,41.7,81,2457
100,0,41.7,81,2458
100,0,41.6,81,2459
100,0,41.6,81,2460
100,0,41.6,81,2461
100,0,41.6,81,2462
100,0,41.6,81,2463
100,0,41.6,81,2464
100,0,41.6,81,2465
100,0,41.6,81,2466
100,0,41.6,81,2467
100,0,41.6,81,2468
100,0,41.6,81,2469
100,0,41.6,81,2470
100,0,41.6,81,2471
100,0,41.6,81,2472
100,0,41.6,81,2473
100,0,41.6,81,2474
100,0,41.6,81,2475
100,0,41.6,81,2476
100,0,41.6,81,2477
100,0,41.6,81,2478
100,0,41.6,81,2479
100,0,41.6,81,2480
100,0,41.6,82,2481
100,0,41.6,82,2482
100,0,41.6,82,2483
100,0,41.6,82,2484
100,0,41.6,82,2485
100,0,41.6,82,2486
100,0,41.6,82,2487
100,0,41.6,82,2488
100,0,41.6,83,2489
100,0,41.6,83,2490
100,0,41.6,83,2491
100,0,41.6,83,2492
100,0,41.6,83,2493
100,0,41.6,83,2494
100,0,41.6,83,2495
100,0,41.6,83,2496
100,0,41.6,83,2497
100,0,41.6,83,2498
100,0,41.6,83,2499
100,0,41.6,83,2500
100,0,41.6,83,2501
100,0,41.6,83,2502
100,0,41.6,83,2503
100,0,41.6,83,2504
100,0,41.6,83,2505
100,0,41.6,83,2506
100,0,41.6,83,2507
100,0,41.6,83,2508
100,0,41.6,83,2509
100,0,41.6,83,2510
100,0,41.6,83,2511
100,0,41.6,83,2512
100,0,41.6,83,2513
100,0,41.6,83,2514
100,0,41.6,84,2515
100,0,41.6,84,2516
100,0,41.6,84,2517
100,0,41.6,84,2518
100,0,41.6,84,2519
100,0,41.6,84,2520
100,0,41.6,84,2521
100,0,41.6,84,2522
100,0,41.6,84,2523
100,0,41.6,84,2524
100,0,41.6,84,2525
100,0,41.6,84,2526
